hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
63.9,Low,2353,Good,37.85,Low,Monitor
73.6,Low,4937,Moderate,53.02,Moderate,Medium-Term
9.4,Moderate,4239,Poor,40.42,Moderate,Medium-Term
19.9,Very High,1905,Moderate,52.01,Moderate,Medium-Term
80.9,Low,1407,Poor,52.95,Moderate,Medium-Term
27.8,Moderate,2857,Good,32.64,Low,Monitor
9.7,High,2266,Good,41.64,Moderate,Medium-Term
53.6,Very High,745,Poor,59.68,Moderate,Medium-Term
62.9,High,4829,Good,70.1,High,Short-Term
4.6,Moderate,2470,Good,35.18,Low,Monitor
86.6,Very High,2377,Moderate,77.99,High,Short-Term
36.5,High,3010,Good,53.03,Moderate,Medium-Term
70.2,Low,1501,Poor,54.49,Moderate,Medium-Term
16.3,Very High,2311,Poor,59.21,Moderate,Medium-Term
22.0,High,558,Good,40.58,Moderate,Medium-Term
80.5,Very High,2293,Good,64.23,High,Short-Term
94.3,High,1841,Poor,75.61,High,Short-Term
88.5,Very High,1270,Moderate,66.28,High,Short-Term
74.5,High,4888,Moderate,82.0,Critical,Immediate
39.9,Moderate,1233,Poor,46.55,Moderate,Medium-Term
75.6,Low,1352,Poor,46.68,Moderate,Medium-Term
68.0,Low,3252,Moderate,53.34,Moderate,Medium-Term
46.8,High,4632,Good,63.29,High,Short-Term
11.5,High,2886,Good,37.77,Low,Monitor
15.8,Low,2257,Poor,39.0,Low,Monitor
50.8,Low,2544,Poor,48.33,Moderate,Medium-Term
19.9,High,1423,Poor,55.17,Moderate,Medium-Term
92.2,Low,2755,Moderate,50.6,Moderate,Medium-Term
92.9,High,2061,Good,62.11,High,Short-Term
56.7,Low,801,Poor,43.08,Moderate,Medium-Term
6.9,Moderate,1151,Poor,34.37,Low,Monitor
55.0,High,4422,Poor,70.96,High,Short-Term
21.2,Moderate,2653,Moderate,48.45,Moderate,Medium-Term
65.0,Very High,4339,Moderate,70.05,High,Short-Term
22.5,High,272,Poor,45.07,Moderate,Medium-Term
58.8,Low,681,Poor,45.65,Moderate,Medium-Term
22.9,Low,2806,Good,29.97,Low,Monitor
27.8,Very High,1855,Poor,52.52,Moderate,Medium-Term
93.6,Very High,2090,Moderate,82.04,Critical,Immediate
19.0,Low,3631,Moderate,34.95,Low,Monitor
46.7,Low,906,Good,28.91,Low,Monitor
33.9,Low,2136,Good,25.95,Low,Monitor
44.9,Very High,1603,Moderate,57.53,Moderate,Medium-Term
87.4,Low,3730,Poor,59.33,Moderate,Medium-Term
65.2,Low,864,Good,31.44,Low,Monitor
48.6,Moderate,3385,Good,43.18,Moderate,Medium-Term
0.2,Very High,2272,Moderate,41.72,Moderate,Medium-Term
69.7,Very High,1368,Good,58.12,Moderate,Medium-Term
96.9,Low,2669,Good,47.89,Moderate,Medium-Term
47.7,Moderate,565,Poor,39.98,Low,Monitor
18.6,Low,2026,Moderate,23.53,Low,Monitor
89.0,Moderate,4842,Poor,70.91,High,Short-Term
8.2,High,2236,Good,40.03,Moderate,Medium-Term
31.4,High,3342,Good,52.61,Moderate,Medium-Term
30.0,High,694,Good,38.11,Low,Monitor
99.8,Low,700,Poor,53.39,Moderate,Medium-Term
26.5,High,663,Good,35.34,Low,Monitor
15.8,High,4433,Good,51.45,Moderate,Medium-Term
55.5,Low,1200,Moderate,33.07,Low,Monitor
10.7,Moderate,2331,Moderate,37.25,Low,Monitor
71.8,Moderate,2262,Poor,61.75,High,Short-Term
90.5,Low,856,Poor,54.13,Moderate,Medium-Term
27.7,Low,2832,Good,33.71,Low,Monitor
26.2,Very High,4619,Poor,67.74,High,Short-Term
1.0,Low,1321,Poor,18.46,Low,Monitor
36.9,Moderate,3620,Good,38.06,Low,Monitor
36.5,Low,3031,Good,38.31,Low,Monitor
66.7,High,4686,Moderate,79.67,High,Short-Term
74.9,Moderate,1431,Good,56.04,Moderate,Medium-Term
2.5,High,3472,Poor,55.84,Moderate,Medium-Term
81.1,High,1404,Poor,62.98,High,Short-Term
87.2,Very High,1922,Good,74.78,High,Short-Term
46.0,High,1964,Good,41.84,Moderate,Medium-Term
19.3,High,2382,Good,49.25,Moderate,Medium-Term
27.9,Very High,4492,Moderate,70.76,High,Short-Term
11.5,High,1562,Poor,52.92,Moderate,Medium-Term
26.5,Low,4987,Moderate,41.75,Moderate,Medium-Term
78.6,Very High,4289,Good,74.33,High,Short-Term
57.7,High,463,Poor,56.28,Moderate,Medium-Term
52.0,Moderate,3083,Moderate,46.15,Moderate,Medium-Term
66.4,High,2671,Poor,74.74,High,Short-Term
72.0,High,4254,Moderate,74.89,High,Short-Term
32.6,High,4641,Good,50.54,Moderate,Medium-Term
66.5,Very High,1525,Poor,71.73,High,Short-Term
40.6,Low,2589,Moderate,34.93,Low,Monitor
78.6,High,3909,Moderate,72.22,High,Short-Term
21.4,Very High,1490,Poor,48.06,Moderate,Medium-Term
